News Source,AllSides Bias Rating,Agree/Disagree,Domain
ABC News,Lean Left,41057/20322,abcnews.go.com
AlterNet,Left,15706/3608,alternet.org
Associated Press,Lean Left,34008/26698,apnews.com
Axios,Lean Left,8058/8982,axios.com
BBC News,Center,33628/28965,bbc.com
Bloomberg,Lean Left,17824/22938,bloomberg.com
Breitbart News,Right,43424/11928,breitbart.com
BuzzFeed News,Left,28128/9819,buzzfeed.com
CBS News,Lean Left,21090/13550,cbsnews.com
Christian Science Monitor,Center,17060/20832,csmonitor.com
CNN,Lean Left,62146/52470,cnn.com
Daily Beast,Left,22226/6750,thedailybeast.com
Daily Mail,Right,14199/7604,dailymail.co.uk
Democracy Now!,Left,14966/3508,democracynow.org
Forbes,Center,15756/10453,forbes.com
Fox News,Right,53415/53337,foxnews.com
HuffPost,Left,38232/22829,huffpost.com
Insider,Lean Left,5026/7247,insider.com
Mother Jones,Left,17139/2643,motherjones.com
MSNBC,Left,24800/6327,msnbc.com
National Review,Right,22470/9370,nationalreview.com
NBC News,Lean Left,15133/14193,nbcnews.com
New York Post,Lean Right,18126/9558,nypost.com
New York Times,Lean Left,33910/43759,nytimes.com
NewsNation,Center,887/969,newsnationnow.com
Newsweek,Center,5295/9634,newsweek.com
NPR,Lean Left,34615/34421,npr.com
Politico,Lean Left,25613/32664,politico.com
Reason,Lean Right,10415/6518,reason.com
Reuters,Center,22497/13310,reuters.com
Slate,Left,11019/3930,slate.com
The American Spectator,Right,12769/4552,spectator.org
The Atlantic,Left,16866/9398,theatlantic.com
The Blaze,Right,114579/88060,theblaze.com
The Daily Caller,Right,11215/4473,dailycaller.com
The Daily Wire,Right,13619/4666,dailywire.com
The Economist,Lean Left,7107/12049,economist.com
The Epoch Times,Lean Right,14245/8004,theepochtimes.com
The Federalist,Right,10523/3249,thefederalist.com
The Guardian,Lean Left,17021/10720,theguardian.com
The Hill,Center,19181/26260,thehill.com
The Intercept,Left,6517/2065,theintercept.com
The New Yorker,Left,11114/2745,newyorker.com
Time Magazine,Lean Left,10526/8924,time.com
USA TODAY,Lean Left,20221/22546,usatoday.com
